Name,No,Date,Pitch_Type,Is_Strike,Strike_Zone_Side,Strike_Zone_Height,球速,回転数,True_Spin_release,回転効率,Spin_Direction,Spin_Confidence,VB_trajectory,HB_trajectory,VB_spin,HB_spin,Horizontal_Angle,Release_Angle,Release_Height,Release_Side,Release_Extension_ft,Gyro_Degree_deg,,,,,,,,,,,,,,,,,,,,,,
友廣,27,2025/1/17,Fastball,N,-5.91,120.42,127.96,2061.26,2028.1,98.39,0:44,0.8,82.5,24.7,48.8,20.1,-2.22,-1.06,1.75,0.31,0,10.29,,,,,,,,,,,,,,,,,,,,,,
友廣,28,2025/1/17,Fastball,N,-19.11,113.15,128.52,1995.79,1982.1,99.31,0:46,0.8,76.1,15.1,48.3,20.7,-2.2,-1.38,1.78,0.26,0,6.71,,,,,,,,,,,,,,,,,,,,,,
友廣,29,2025/1/17,Fastball,N,-23.64,111.94,129.13,2153.95,2118.3,98.35,0:38,0.9,63.1,9.4,50.7,17.5,-2.11,-0.89,1.76,0.25,0,10.43,,,,,,,,,,,,,,,,,,,,,,
友廣,30,2025/1/17,Fastball,N,-17.48,31.21,129.52,2068.17,2048,99.02,5:22,0.6,-26.1,19,-49.2,16.2,-2.49,-0.48,1.66,0.28,0,8.02,,,,,,,,,,,,,,,,,,,,,,
友廣,31,2025/1/17,ChangeUp,N,32.49,67.41,115.56,1385.01,1247.2,90.05,1:28,0.9,53.8,30.3,31.8,30.7,-0.81,-1.22,1.79,0.25,2.040165,-25.77,,,,,,,,,,,,,,,,,,,,,,
友廣,32,2025/1/17,Fastball,N,20.73,118.14,129.59,2060.39,2060.1,99.99,0:38,0.9,73.3,20.9,50.6,17.3,-0.78,-1.11,1.78,0.21,0,-0.9,,,,,,,,,,,,,,,,,,,,,,
友廣,33,2025/1/17,Fastball,N,4.68,141.35,130.67,2070.55,2043.5,98.69,0:44,0.9,71.4,14.8,48.5,19.4,-1.25,-0.23,1.78,0.24,0,9.27,,,,,,,,,,,,,,,,,,,,,,
友廣,34,2025/1/17,Fastball,N,26.69,99.45,131.18,2064.65,2064.6,100,0:32,0.9,61.8,23.9,50.6,15.3,-0.97,-1.39,1.76,0.29,0,0.17,,,,,,,,,,,,,,,,,,,,,,
友廣,35,2025/1/17,Fastball,N,9.53,124.71,130.13,2001.97,2001.4,99.97,0:36,0.8,76.2,13,50.1,16.3,-0.97,-0.98,1.79,0.23,0,-1.36,,,,,,,,,,,,,,,,,,,,,,
友廣,36,2025/1/17,Fastball,N,38.08,113.38,125.89,1967.77,1965.5,99.88,0:38,0.8,79.6,25.2,49.7,17.5,-0.58,-1.31,1.8,0.29,0,-2.78,,,,,,,,,,,,,,,,,,,,,,
友廣,37,2025/1/17,Fastball,N,2.33,116.17,129.72,2028.23,1998.6,98.54,0:38,0.9,55.7,30.6,49.3,17.3,-2.16,-0.44,1.75,0.31,0,9.81,,,,,,,,,,,,,,,,,,,,,,
友廣,38,2025/1/17,Fastball,N,36.34,115.46,129.15,2069.78,2068.2,99.92,0:40,1,58,19,50,18.4,-0.29,-0.59,1.77,0.25,0,-2.24,,,,,,,,,,,,,,,,,,,,,,
友廣,39,2025/1/17,Fastball,N,58.62,139.22,124.75,1941.45,1936.5,99.74,0:38,0.9,63.9,32.3,49.9,17.5,-0.12,0.37,1.8,0.3,0,-4.11,,,,,,,,,,,,,,,,,,,,,,
友廣,40,2025/1/17,ChangeUp,N,24.38,152.21,118.89,1874.41,1873.3,99.94,0:54,0.8,81.5,29.2,48.5,24.8,-1.29,0.36,1.87,0.31,2.0603485,1.97,,,,,,,,,,,,,,,,,,,,,,
小林,1,2025/1/29,ChangeUp,N,-38.79,101.4,130.14,2255.25,2200.2,97.56,1:46,0.6,0,0,32.9,43.4,-6.31,-1.13,1.31,0.85,0,12.69,,,,,,,,,,,,,,,,,,,,,,
